Dato,Avdeling,Batch,Anlegg,Biomasse,Tilvekst,Alkalitet,Kalsium,Co2,Co2UtKar,Farge,NitrogenProsent,No3,No2,OksygenProsent,pH_etter,pH_foer,SalinitetProsent,DriftsvannGraderC,RaavannGraderC,TAN,Turbiditet,TotaltGasstrykkProsent
2023-08-09,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,23612.69130,0.00000,53.6000,,,,,,56.6000,0.0400,,,,,,,0.2000,,
2023-08-10,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24601.06694,988.37564,63.6000,,3.2000,,15.0000,,54.5000,0.0900,92.0000,7.6000,7.3000,3.1000,11.7000,,2.1550,2.0000,
2023-08-11,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24751.06694,150.00000,48.0000,,3.5000,,11.0000,,30.1000,0.1400,,7.5000,7.2000,2.6000,12.0000,,2.2000,,
2023-08-12,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24751.06694,0.00000,47.2000,,,,15.0000,,36.8000,0.1050,,,,,,,4.3575,2.0000,
2023-08-13,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24801.06694,50.00000,41.8000,,,,16.0000,,31.0000,0.1000,,,7.1200,,,,4.8725,3.0000,
2023-08-14,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24950.39617,149.32923,44.6000,,3.5000,,9.0000,,21.4200,0.1000,95.0000,7.3300,7.1000,2.8000,12.1000,,1.8500,3.0000,
2023-08-15,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,24949.72540,-0.67077,41.3000,,4.0000,,5.0000,,17.2000,0.1200,95.0000,7.3600,7.0800,2.9000,12.2000,,2.2100,2.0000,
2023-08-16,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25248.36477,298.63937,40.0000,,4.0000,,5.0000,,13.0733,0.1133,93.0000,7.2900,7.0600,2.7000,12.2000,,2.3500,2.0000,
2023-08-17,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25247.81397,-0.55080,42.6000,,4.7000,,7.0000,,13.6000,0.4033,90.0000,7.2000,7.0800,3.1000,12.4000,,3.0567,2.0000,
2023-08-18,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25628.83397,381.02000,46.4000,,4.1000,,10.0000,,8.2000,0.6033,92.0000,7.3400,7.0800,2.9000,12.7000,,3.4633,3.0000,
2023-08-19,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25628.83397,0.00000,44.4000,,4.2000,,12.0000,,6.6500,0.7667,90.0000,7.3700,7.1000,3.0000,12.9000,,4.0767,3.0000,
2023-08-20,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25937.83397,309.00000,44.0000,,4.1000,,13.0000,,6.2500,1.0167,90.0000,7.3600,7.1100,3.1000,13.2000,,4.0667,5.0000,
2023-08-21,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,25937.83397,0.00000,54.0000,,,,13.0000,,5.7500,0.9867,,7.3800,7.1100,2.9000,13.2000,,3.4767,4.0000,
2023-08-22,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26237.83397,300.00000,54.0000,,3.8000,,16.0000,,5.4100,1.0600,95.0000,7.4000,7.1800,3.1000,13.0000,,3.4200,4.0000,
2023-08-23,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26237.83397,0.00000,57.6000,,4.4000,,17.0000,,5.6467,1.2000,94.0000,7.4000,7.1450,3.2000,13.3000,,3.9100,5.0000,
2023-08-24,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26532.69087,294.85690,57.3333,,4.0000,,23.0000,,5.6300,1.3133,92.0000,7.3750,7.1300,3.0000,13.1000,,4.3500,7.0000,
2023-08-25,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26532.69087,0.00000,56.4000,,4.4000,,22.0000,,5.6467,1.2900,92.0000,7.3700,7.1400,3.1000,13.1000,,4.7767,6.0000,
2023-08-26,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26906.54617,373.85530,49.3333,,4.3000,,19.0000,,5.4000,1.2800,92.0000,7.3700,7.1000,3.0000,13.0000,,3.7567,6.0000,
2023-08-27,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,26906.54617,0.00000,50.0000,,4.4000,,20.0000,,5.2900,1.2700,92.0000,7.3700,7.1100,3.0000,13.0000,,4.0633,6.0000,
2023-08-28,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,27218.06617,311.52000,41.6000,,5.0000,,,,5.1450,1.2567,92.0000,,,2.8000,13.0000,,4.5967,7.0000,
2023-08-29,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,27218.06617,0.00000,58.7333,,4.9000,,22.0000,,4.8800,1.3333,89.0000,7.2500,7.0000,3.1000,13.0000,12.7000,4.6433,7.0000,
2023-08-30,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,27534.47238,316.40621,38.1333,,4.5000,,,,7.7000,1.3467,93.0000,7.2200,6.9400,3.4000,13.0000,,4.8433,5.0000,
2023-08-31,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,27534.17203,-0.30035,48.9333,,4.9000,,21.0000,,6.7400,1.4167,89.0000,7.1400,6.8700,3.1000,13.0000,,4.8833,9.0000,
2023-09-01,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30618.11400,3083.94197,34.2000,,4.6000,,,,10.4200,1.2333,93.0000,7.1100,6.8100,3.3000,13.1000,,4.7567,6.0000,
2023-09-02,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30617.61300,-0.50100,40.9333,,5.3000,,22.0000,,6.8067,1.3000,92.0000,7.1700,6.9500,3.1000,13.0000,,5.0800,13.0000,
2023-09-03,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30617.61300,0.00000,41.6000,,5.2000,,,,7.6733,1.4333,90.0000,7.1900,7.0000,3.1000,13.0000,,5.0967,5.0000,
2023-09-04,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30617.61300,0.00000,49.2000,,4.9000,,26.0000,,8.3067,1.4600,88.0000,7.2400,6.9100,3.0000,13.4000,,4.3000,6.0000,
2023-09-05,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30965.27300,347.66000,51.3333,,4.8000,,27.0000,,9.0333,1.5000,92.0000,7.3700,7.0500,3.1000,13.6000,,4.2567,6.0000,
2023-09-06,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,30964.93517,-0.33783,57.3333,,5.5000,,,,8.8200,1.1600,95.0000,7.4100,7.0700,3.1000,13.5000,12.9000,4.4400,6.5000,
2023-09-07,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,31322.93517,358.00000,57.1333,,5.8000,,17.0000,,10.7633,0.5767,88.0000,7.3600,7.0100,3.2000,13.8000,,5.0267,4.6667,
2023-09-08,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,31322.93517,0.00000,46.8000,,6.2000,,,,11.8100,1.5567,89.0000,7.3100,7.0000,3.0000,14.3000,,5.3933,6.0000,
2023-09-09,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,31765.93517,443.00000,48.3333,,5.2000,,8.0000,,11.9000,1.8400,90.0000,7.3100,7.0500,3.0000,14.0000,,4.7300,6.0000,
2023-09-10,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,31765.93517,0.00000,52.0000,,5.1000,,17.0000,,11.6800,1.9800,90.0000,7.3700,7.1000,3.0000,14.0000,,5.2300,3.0000,
2023-09-11,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,32068.93517,303.00000,50.2000,,5.2000,,18.0000,,12.4600,2.1167,94.0000,7.3500,7.0400,2.9000,14.0000,13.0000,4.8633,5.0000,
2023-09-12,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,32223.32517,154.39000,44.1333,,6.4500,,17.0000,,12.7467,1.8933,91.0000,7.2550,6.9550,3.1500,13.7500,13.3000,4.3033,4.5000,
2023-09-13,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,32631.20783,407.88266,45.0667,,5.7000,,18.5000,,12.5900,1.7700,93.5000,7.3250,7.0250,3.0500,13.3000,13.2000,4.0933,6.0000,
2023-09-14,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,32835.41783,204.21000,46.9333,,5.7000,,21.0000,,12.5033,1.7667,88.0000,7.3900,7.0700,3.0000,13.1000,13.1000,5.3167,7.0000,
2023-09-15,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,33162.31783,326.90000,45.2000,,6.6000,,22.0000,,12.8233,1.8400,92.0000,7.3700,7.0300,2.6000,13.4000,,5.3567,9.0000,
2023-09-16,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,33344.06783,181.75000,48.1333,,6.7000,,24.0000,,16.6833,2.1233,92.0000,7.4000,7.0600,3.0000,13.9000,,5.2067,10.0000,
2023-09-17,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,33684.36783,340.30000,51.7333,,7.2000,,24.0000,,18.2233,2.3000,90.0000,7.3700,7.0900,2.9000,14.0000,,3.7900,10.0000,
2023-09-18,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,33884.36783,200.00000,51.6000,,6.8667,,24.6667,,19.6533,2.2633,90.0000,7.3567,7.0367,3.0667,14.3000,12.6000,2.6567,10.3333,
2023-09-19,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,34499.28783,614.92000,54.1333,,5.5667,,22.3333,,21.8400,1.9000,93.3333,7.4800,7.0067,3.1000,14.0000,12.4000,1.5433,12.0000,
2023-09-20,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,35146.93783,647.65000,62.8000,,5.8500,,13.5000,,18.0050,1.4000,88.5000,7.5500,7.0500,3.0000,14.0500,11.4000,1.9150,8.0000,
2023-09-21,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,41245.20000,6098.26217,63.8000,,6.8000,,14.0000,,23.9850,1.6500,90.0000,7.5350,7.0300,3.1000,14.3500,12.3000,1.8350,5.5000,
2023-09-22,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,41743.40000,498.20000,69.0000,,6.8500,,13.5000,,25.2850,1.9000,92.0000,7.5600,7.0650,3.1000,14.1000,12.2000,2.0000,6.0000,
2023-09-23,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,42276.24000,532.84000,70.2000,,6.9000,,15.5000,,26.0650,1.9000,92.0000,7.6550,7.1150,3.1000,13.9000,12.2000,1.2900,8.0000,
2023-09-24,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,42787.16000,510.92000,73.8000,,7.4500,,16.5000,,26.7800,1.6500,92.0000,7.6750,7.1300,3.1000,14.0500,12.0000,1.2600,9.0000,
2023-09-25,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,43361.10000,573.94000,78.0000,,7.3000,,24.0000,,27.1700,1.2100,90.0000,7.6900,7.1400,3.1000,14.2000,,0.7500,8.0000,
2023-09-26,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,44024.65000,663.55000,86.0000,,8.2000,,13.0000,,31.8500,1.5900,90.0000,,7.0900,3.0000,14.4000,,0.8000,6.0000,
2023-09-27,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,44740.11000,715.46000,85.6000,,8.4000,,18.0000,,32.7000,1.7000,92.0000,7.4500,7.0900,2.8000,14.4000,,0.7300,6.0000,
2023-09-28,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,45549.47000,809.36000,78.8000,,9.1000,,18.0000,,27.1000,1.1000,94.0000,7.3800,7.0500,2.9000,14.1000,,0.8000,5.0000,
2023-09-29,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,46345.22760,795.75760,80.8000,,9.8000,,8.0000,,20.0000,1.1800,92.0000,7.3600,7.0100,3.0000,14.1000,12.0000,0.8600,4.0000,
2023-09-30,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,47117.80194,772.57434,80.8000,,10.3000,,13.0000,,21.4000,0.3800,92.0000,7.3900,7.0500,2.9000,14.0000,,0.6100,4.0000,
2023-10-01,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,47849.36489,731.56295,82.6000,,10.4000,,8.0000,,23.1000,0.4200,93.0000,7.4200,7.0600,3.1000,13.9000,,0.8000,3.0000,
2023-10-02,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,48096.18101,246.81612,104.0000,,10.0000,,15.0000,,25.0000,0.3500,90.0000,,7.1200,3.0000,13.9000,,0.5900,3.0000,
2023-10-03,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,48096.18101,0.00000,108.0000,,,,12.0000,,36.6000,0.3500,,,,,,,0.5900,4.0000,
2023-10-04,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,48376.28860,280.10759,109.0000,,11.5000,,13.0000,,32.1000,0.3500,90.0000,,7.1200,3.0000,14.0000,,0.5200,4.0000,
2023-10-05,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,48665.21675,288.92815,115.0000,,12.3000,,18.0000,,19.0000,0.3900,90.0000,,7.1100,3.1000,13.9000,,0.4700,3.0000,
2023-10-06,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,49335.68570,670.46895,120.4000,,12.1000,,9.0000,,29.5000,0.3900,92.0000,,7.1100,3.1000,14.1000,,0.6600,3.0000,
2023-10-07,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,50021.33975,685.65405,86.0000,,12.3000,,20.0000,,23.4000,0.2900,92.0000,,7.0800,3.1000,14.0000,11.0000,0.3000,5.0000,
2023-10-08,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,50021.33975,0.00000,82.0000,,12.6000,,21.0000,,23.6000,0.1500,91.0000,,7.1100,3.0000,13.8000,,0.2200,4.0000,
2023-10-09,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,50021.33975,0.00000,112.0000,,9.7000,,12.0000,,29.0000,0.2100,,,7.1800,3.0000,14.4000,,0.1600,2.0000,
2023-10-10,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,50021.33975,0.00000,104.0000,,9.4000,,12.0000,,29.0000,0.2100,91.0000,,7.1300,2.9000,14.4000,,0.2000,2.0000,
2023-10-11,Postsmolt A1,RASA1_44.2023-08-09.2023-10-13,RASA1_44,50021.33975,0.00000,85.0000,,8.2000,,14.0000,,34.5000,0.1800,92.0000,,7.1200,2.8000,14.5000,,0.2000,3.0000,
2023-10-25,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,37120.08600,0.00000,32.0000,,1.4000,,22.0000,,9.9000,0.0200,92.0000,,7.2600,2.7000,15.2000,,0.2000,4.0000,
2023-10-27,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,37864.07650,220.34000,32.0000,,4.6000,,24.0000,,12.0000,0.2200,97.0000,,6.8000,3.0000,14.8000,7.5000,0.2500,4.0000,
2023-10-28,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,38109.34908,245.27258,44.0000,,5.2000,,26.0000,,10.0000,0.3400,93.0000,,6.9000,3.0000,14.9000,,0.3500,5.0000,
2023-10-29,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,38382.02672,272.67764,55.0000,,5.3000,,24.0000,,15.6000,0.2700,93.0000,,7.1500,3.0000,15.0000,,0.3900,5.0000,
2023-10-30,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,38709.13377,327.10705,52.8000,,6.0000,,30.0000,,13.2000,0.3300,90.0000,,7.1200,2.9000,14.7000,,0.3500,6.0000,
2023-10-31,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,38706.27000,-2.86377,58.0000,,6.1000,,25.0000,,17.4000,0.3500,89.0000,,7.0700,2.9000,14.6000,,0.3900,9.0000,
2023-11-01,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,39443.70073,737.43073,52.8000,,7.4000,,23.0000,,20.1000,0.3000,90.0000,,6.9800,2.9000,15.3000,,0.4400,8.0000,
2023-11-02,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,39796.10073,352.40000,35.6000,,7.2000,,25.0000,,13.7000,0.3200,93.0000,,6.9600,2.9000,15.4000,,0.4200,11.0000,
2023-11-03,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,40131.71521,335.61448,44.0000,,7.3000,,21.0000,,25.5000,0.3000,93.0000,,6.9900,2.9000,15.5000,7.1000,0.3900,12.0000,
2023-11-04,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,40448.93753,317.22232,47.0000,,7.4000,,23.0000,,16.5000,0.2600,92.0000,,7.1300,3.0000,15.5000,,0.3900,10.0000,
2023-11-05,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,40743.15753,294.22000,47.0000,,8.0000,,,,30.1000,0.2600,90.0000,,7.0000,3.0000,15.0000,,0.3600,10.0000,
2023-11-06,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,41025.56521,282.40768,52.4000,,8.1000,,,,31.7000,0.2500,91.0000,,7.0900,2.9000,15.6000,,0.3600,7.0000,
2023-11-07,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,41273.76986,248.20465,57.6000,,7.6000,,,,29.9000,0.2300,96.0000,,7.1200,2.9000,15.5000,,0.2300,10.0000,
2023-11-08,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,41488.37219,214.60233,70.4000,,7.6000,,,,34.1000,0.1800,93.0000,,7.1300,3.3000,15.4000,,0.2200,10.0000,
2023-11-09,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,41660.37219,172.00000,66.4000,,8.1000,,15.0000,,34.6000,0.1700,102.0000,,7.1600,3.2000,15.3000,,0.1900,10.0000,
2023-11-10,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,41828.16666,167.79447,63.2000,,8.1000,,17.0000,,34.1000,0.1800,96.0000,,7.1700,3.0000,15.0000,,0.1500,11.0000,
2023-11-11,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42006.16666,178.00000,53.2000,,8.8000,,9.0000,,37.8000,0.1600,97.0000,,7.1000,2.8000,14.6000,6.5000,0.2200,9.0000,
2023-11-12,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42210.16666,204.00000,50.4000,,9.0000,,11.0000,,32.7000,0.2000,95.0000,,7.1000,2.8000,14.6000,,0.2900,9.0000,
2023-11-13,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42462.52666,252.36000,55.6000,,9.6000,,21.0000,,25.4000,0.2200,95.0000,,7.1000,3.1000,14.5000,,0.2600,9.0000,
2023-11-14,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42753.31028,290.78362,60.4000,,9.7000,,21.0000,,38.1000,0.2200,94.0000,,7.0900,3.2000,14.3000,,0.2200,11.0000,
2023-11-15,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42816.04473,62.73445,60.6000,,10.8000,,13.0000,,37.7000,0.2200,92.0000,,7.0800,3.1000,13.9000,,0.3300,6.0000,
2023-11-17,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42816.04473,0.00000,75.2000,,10.4000,,16.0000,,38.1000,0.2200,92.0000,,7.1200,2.7000,12.9000,,0.2100,6.0000,
2023-11-18,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42816.04473,0.00000,56.0000,,9.4000,,18.0000,,37.0000,0.1500,95.0000,,7.1600,3.2000,12.6000,,0.2000,6.0000,
2023-11-19,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,42816.04473,0.00000,,,,,16.0000,,25.7000,0.1300,,,,,,,0.2000,7.0000,
2023-11-20,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,43031.03114,214.98641,38.4000,,9.7000,,18.0000,,34.3000,0.1100,92.0000,,7.1700,3.1000,12.3000,,0.1000,7.0000,
2023-11-21,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,43358.16953,327.13839,59.6000,,11.2000,,13.0000,,33.8000,0.2700,93.0000,,7.0800,2.8000,12.2000,,0.3500,7.0000,
2023-11-22,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,43708.62771,350.45818,50.4000,,11.5000,,19.0000,,26.5000,0.3400,90.0000,7.1300,6.9500,2.8000,12.6000,5.9000,0.3700,11.0000,
2023-11-23,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,44076.30232,367.67461,55.0000,,12.5000,,25.0000,,28.5000,0.3200,86.0000,7.2500,7.0100,2.7000,13.0000,,0.3200,13.0000,
2023-11-24,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,44468.80235,392.50003,49.6000,,13.1000,,20.0000,,27.1000,0.3400,90.0000,7.3400,7.0200,2.8000,13.0000,,0.4200,16.0000,
2023-11-25,Postsmolt A1,RASA1_41.2023-10-25.2023-12-15,RASA1_41,44884.98514,416.18279,52.0000,,14.7000,,9.0000,,28.1000,0.3500,93.0000,7.4000,7.1000,2.9000,13.0000,,0.4200,11.0000,
